descripcion,categoria,monto
*supermercado*,Alimentación,647.41
COMPRA EN SUPERMERCADO,Alimentación,498.99
*supermercado*,Alimentación,384.37
*supermercado*,Alimentación,93.56
COMPRA EN SUPERMERCADO,Alimentación,300.28
COMPRA EN WALMART,Alimentación,581.05
$Walmart,Alimentación,92.31
COMPRA EN WALMART,Alimentación,674.33
$Walmart,Alimentación,50.58
Walmart,Alimentación,513.11
$Soriana,Alimentación,55.3
pago con tarjeta en Soriana,Alimentación,268.42
SORIANA,Alimentación,336.85
soriana,Alimentación,494.31
SORIANA,Alimentación,694.96
*Chedraui*,Alimentación,177.89
*Chedraui*,Alimentación,59.95
pago con tarjeta en Chedraui,Alimentación,774.22
pago Chedraui,Alimentación,339.06
Chedraui,Alimentación,223.17
*Bodega Aurrera*,Alimentación,507.5
COMPRA EN BODEGA AURRERA,Alimentación,75.79
compra Bodega Aurrera,Alimentación,244.08
COMPRA EN BODEGA AURRERA,Alimentación,616.52
$Bodega Aurrera,Alimentación,205.96
comer,Alimentación,188.64
pago Comer,Alimentación,631.35
pago Comer,Alimentación,346.36
comer,Alimentación,498.42
COMPRA EN COMER,Alimentación,477.83
pago con tarjeta en restaurante,Alimentación,770.88
Restaurante,Alimentación,341.51
pago restaurante,Alimentación,454.77
COMPRA EN RESTAURANTE,Alimentación,317.56
pago con tarjeta en restaurante,Alimentación,272.21
compra tortilleria,Alimentación,61.73
pago con tarjeta en tortilleria,Alimentación,629.18
COMPRA EN TORTILLERIA,Alimentación,54.14
TORTILLERIA,Alimentación,580.14
TORTILLERIA,Alimentación,642.63
Panaderia,Alimentación,744.73
pago con tarjeta en panaderia,Alimentación,736.22
pago con tarjeta en panaderia,Alimentación,517.47
pago panaderia,Alimentación,121.56
*panaderia*,Alimentación,283.24
COMPRA EN FRUTERIA,Alimentación,549.44
COMPRA EN FRUTERIA,Alimentación,256.04
FRUTERIA,Alimentación,404.16
Fruteria,Alimentación,778.78
FRUTERIA,Alimentación,620.59
*carniceria*,Alimentación,628.23
*carniceria*,Alimentación,80.33
CARNICERIA,Alimentación,73.57
*carniceria*,Alimentación,406.53
carniceria,Alimentación,730.67
*pollo asado*,Alimentación,503.31
pollo asado,Alimentación,757.14
*pollo asado*,Alimentación,267.31
$pollo asado,Alimentación,710.35
pago con tarjeta en pollo asado,Alimentación,129.12
quesadilla,Alimentación,719.42
*quesadilla*,Alimentación,722.07
*quesadilla*,Alimentación,730.12
compra quesadilla,Alimentación,220.95
